代码,名称,日期,open,high,low,close,成交量,成交额(百万)
000001.SH,上证指数,1991-03-08,129.84,130.41,129.84,129.89,93300,0.5
000001.SH,上证指数,1991-03-11,129.3,129.89,129.3,129.31,51400,0.2
000001.SH,上证指数,1991-03-12,128.73,129.31,128.73,128.77,95600,0.7
000001.SH,上证指数,1991-03-13,126.13,128.77,126.13,126.15,49700,0.4
000001.SH,上证指数,1991-03-14,125.61,126.15,125.61,125.63,32400,0.2
000001.SH,上证指数,1991-03-15,125.08,125.62,125.08,125.17,79000,0.4
000001.SH,上证指数,1991-03-18,124.7,125.17,124.69,124.71,124900,1.2
000001.SH,上证指数,1991-03-19,124.23,124.71,124.22,124.22,89200,0.6
000001.SH,上证指数,1991-03-20,123.66,124.21,123.63,123.66,67700,0.4
000001.SH,上证指数,1991-03-21,123.14,123.66,123.12,123.12,15100,0.1
000001.SH,上证指数,1991-03-22,122.62,123.12,122.62,122.62,19200,0.1
000001.SH,上证指数,1991-03-25,122.12,122.62,122.1,122.12,29300,0.3
000001.SH,上证指数,1991-03-26,121.62,122.14,121.62,121.62,61000,0.7
000001.SH,上证指数,1991-03-27,121.12,121.64,121.12,121.12,52400,0.3
000001.SH,上证指数,1991-03-28,120.65,121.15,120.61,120.61,78900,0.5
000001.SH,上证指数,1991-03-29,120.16,120.61,120.11,120.19,206300,2.1
000001.SH,上证指数,1991-04-01,120.69,120.73,119.68,120.73,1199900,5.6
000001.SH,上证指数,1991-04-02,121.21,121.29,120.73,121.21,73800,0.3
000001.SH,上证指数,1991-04-03,121.71,121.71,121.21,121.71,202800,0.9
000001.SH,上证指数,1991-04-04,122.2,122.2,121.24,121.72,1051700,5
000001.SH,上证指数,1991-04-05,121.07,121.73,121.03,121.54,1157800,6
000001.SH,上证指数,1991-04-08,121.11,121.11,121.05,121.09,183400,1.6
000001.SH,上证指数,1991-04-09,120.6,121.1,120.6,120.62,28200,0.2
000001.SH,上证指数,1991-04-10,120.15,120.62,120.09,120.16,16100,0.2
000001.SH,上证指数,1991-04-11,119.64,120.16,119.62,119.64,23900,0.5
000001.SH,上证指数,1991-04-12,119.2,119.65,119.15,119.21,39800,0.3
000001.SH,上证指数,1991-04-15,118.73,119.22,118.72,118.77,30100,0.3
000001.SH,上证指数,1991-04-16,118.36,118.77,118.34,118.34,10400,0.1
000001.SH,上证指数,1991-04-17,117.92,118.34,117.89,117.9,19200,0.2
000001.SH,上证指数,1991-04-18,117.45,117.93,117.45,117.45,17400,0.1
000001.SH,上证指数,1991-04-19,117.08,117.5,117.05,117.08,62100,0.4
000001.SH,上证指数,1991-04-22,116.63,117.08,116.58,116.63,43000,0.3
000001.SH,上证指数,1991-04-23,116.21,116.63,116.15,116.19,28100,0.2
000001.SH,上证指数,1991-04-24,115.7,116.19,115.7,115.79,14000,0.1
000001.SH,上证指数,1991-04-25,115.38,115.79,115.33,115.36,149200,0.9
000001.SH,上证指数,1991-04-26,116.31,116.31,114.52,115.56,1335200,5.8
000001.SH,上证指数,1991-04-29,114.86,116.29,114.75,114.75,840800,3.6
000001.SH,上证指数,1991-04-30,113.89,114.87,113.89,113.94,484900,2.7
000001.SH,上证指数,1991-05-02,113.04,113.2,113.03,113.16,137400,1.1
000001.SH,上证指数,1991-05-03,112.46,113.17,112.3,112.41,422800,2.3
000001.SH,上证指数,1991-05-06,111.65,112.41,111.57,111.61,276300,1.4
000001.SH,上证指数,1991-05-07,110.8,110.9,110.8,110.82,178400,0.9
000001.SH,上证指数,1991-05-08,110.16,110.82,110,110.03,40700,0.3
000001.SH,上证指数,1991-05-09,109.36,110.12,109.31,109.29,223400,1.2
000001.SH,上证指数,1991-05-10,108.61,109.4,108.53,108.53,24700,0.3
000001.SH,上证指数,1991-05-13,107.88,107.88,107.74,107.84,23300,0.1
000001.SH,上证指数,1991-05-14,107.21,107.84,107.06,107.19,26000,0.1
000001.SH,上证指数,1991-05-15,106.56,106.6,106.42,106.57,38800,0.3
000001.SH,上证指数,1991-05-16,105.83,105.86,105.69,105.77,310600,1.4
000001.SH,上证指数,1991-05-17,105.12,106.75,104.96,106.75,2019000,7.6
000001.SH,上证指数,1991-05-20,107.76,107.82,106.71,107.82,86200,0.9
000001.SH,上证指数,1991-05-21,108.89,108.89,108.62,108.81,76100,1.3
000001.SH,上证指数,1991-05-22,109.71,109.82,108.11,108.25,1862800,7.9
000001.SH,上证指数,1991-05-23,107.52,109.16,107.35,109.08,559900,2.7
000001.SH,上证指数,1991-05-24,110.07,110.08,109.82,110.08,101200,0.6
000001.SH,上证指数,1991-05-27,111.05,111.07,109.47,110.66,857900,3.8
000001.SH,上证指数,1991-05-28,111.61,111.68,111.36,111.68,162700,0.9
000001.SH,上证指数,1991-05-29,112.75,112.75,111.67,112.75,53000,1.3
000001.SH,上证指数,1991-05-30,113.74,113.82,112.77,113.82,38800,0.7
000001.SH,上证指数,1991-05-31,114.83,114.83,113.84,114.83,121100,1.4
000001.SH,上证指数,1991-06-03,115.9,115.97,114.89,115.97,94600,1.6
000001.SH,上证指数,1991-06-04,117.12,117.12,116.83,117.12,359800,2
000001.SH,上证指数,1991-06-05,118.17,118.17,117.14,118.17,29700,0.2
000001.SH,上证指数,1991-06-06,119.26,119.35,118.17,119.35,26100,0.1
000001.SH,上证指数,1991-06-07,120.46,120.47,119.35,120.47,0,1
000001.SH,上证指数,1991-06-10,121.65,121.67,120.47,121.67,37800,0.4
000001.SH,上证指数,1991-06-11,122.89,122.89,121.67,122.89,48700,0.3
000001.SH,上证指数,1991-06-12,123.9,124.11,122.89,124.11,130900,0.7
000001.SH,上证指数,1991-06-13,125.33,125.34,123.65,125.34,2080400,11.5
000001.SH,上证指数,1991-06-14,124.47,126.34,124.47,124.53,653000,3.5
000001.SH,上证指数,1991-06-17,125.63,125.77,123.54,125.77,690700,4
000001.SH,上证指数,1991-06-18,127.03,127.03,126.67,127.03,192700,1
000001.SH,上证指数,1991-06-19,128.12,128.29,127.03,128.29,143500,0.7
000001.SH,上证指数,1991-06-20,129.55,129.57,129.21,129.57,226100,1.3
000001.SH,上证指数,1991-06-21,130.72,130.86,128.81,130.86,1360600,7.7
000001.SH,上证指数,1991-06-24,132.1,132.17,131.8,132.17,194800,1.6
000001.SH,上证指数,1991-06-25,133.48,133.49,132.17,133.49,162200,1.2
000001.SH,上证指数,1991-06-26,134.83,134.83,133.49,134.83,330900,2.1
000001.SH,上证指数,1991-06-27,136.04,136.19,134.83,136.19,440600,2.5
000001.SH,上证指数,1991-06-28,137.41,137.56,136.19,137.56,492700,3
000001.SH,上证指数,1991-07-01,136.64,138.62,136.56,136.85,2293700,12.4
000001.SH,上证指数,1991-07-02,135.91,135.96,135.69,135.96,283000,3.7
000001.SH,上证指数,1991-07-03,135.28,135.96,134.98,135.27,261500,1.8
000001.SH,上证指数,1991-07-04,136.63,136.63,134.19,136.63,1337800,8
000001.SH,上证指数,1991-07-05,136.01,137.68,135.9,135.96,1452900,9.3
000001.SH,上证指数,1991-07-08,135.26,135.28,134.93,135.28,575400,2.9
000001.SH,上证指数,1991-07-09,136.56,136.57,134.31,134.64,834200,4.1
000001.SH,上证指数,1991-07-10,134.4,135.6,133.72,133.99,602200,2.8
000001.SH,上证指数,1991-07-11,133.22,133.99,133.13,133.38,507000,2.4
000001.SH,上证指数,1991-07-12,132.8,133.38,132.42,132.8,314300,1.4
000001.SH,上证指数,1991-07-15,133.9,134.1,131.87,133.14,1183800,5.5
000001.SH,上证指数,1991-07-16,134.39,134.47,133.14,134.47,277900,1.3
000001.SH,上证指数,1991-07-17,135.81,135.81,135.39,135.81,58400,0.3
000001.SH,上证指数,1991-07-18,137.17,137.17,135.81,137.17,84200,0.4
000001.SH,上证指数,1991-07-19,137.66,138.54,136.66,136.7,1081200,5.2
000001.SH,上证指数,1991-07-22,138.07,138.07,136.7,138.07,276200,1.4
000001.SH,上证指数,1991-07-23,139.35,139.39,138.07,139.39,713100,3.5
000001.SH,上证指数,1991-07-24,140.66,140.74,138.69,140.68,598200,2.9
000001.SH,上证指数,1991-07-25,140.2,141.01,139.99,140.19,838400,4
000001.SH,上证指数,1991-07-26,140.11,141.46,139.27,140.66,927200,4.5
000001.SH,上证指数,1991-07-29,141.22,141.72,140.81,141.52,476600,2.3
000001.SH,上证指数,1991-07-30,142.39,142.45,141.39,142.39,558100,2.7
000001.SH,上证指数,1991-07-31,143.72,143.8,142.39,143.8,404200,1.9
000001.SH,上证指数,1991-08-01,145.12,145.24,143.8,145.24,472400,2.3
000001.SH,上证指数,1991-08-02,146.49,146.68,145.44,146.68,1172300,5.8
000001.SH,上证指数,1991-08-05,148.06,148.15,146.68,148.15,512100,2.5
000001.SH,上证指数,1991-08-06,149.62,149.62,148.15,149.62,199600,1
000001.SH,上证指数,1991-08-07,150.93,151.12,149.62,151.12,110200,0.5
000001.SH,上证指数,1991-08-08,152.57,152.61,151.12,152.61,194200,1
000001.SH,上证指数,1991-08-09,153.9,154.1,152.61,154.1,371300,1.9
000001.SH,上证指数,1991-08-12,155.34,155.54,154.1,155.54,391300,2.1
000001.SH,上证指数,1991-08-13,156.87,157.07,155.54,157.07,2003300,10.5
000001.SH,上证指数,1991-08-14,158.3,158.63,158.11,158.63,547500,2.9
000001.SH,上证指数,1991-08-15,159.92,160.21,158.63,160.21,153200,0.8
000001.SH,上证指数,1991-08-16,161.56,161.6,160.21,161.6,96200,0.5
000001.SH,上证指数,1991-08-19,163.21,163.21,161.6,163.21,98000,0.6
000001.SH,上证指数,1991-08-20,164.74,164.84,163.21,164.84,56800,0.3
000001.SH,上证指数,1991-08-21,166.49,166.49,164.84,166.49,331100,2.1
000001.SH,上证指数,1991-08-22,167.81,168.16,166.49,168.16,123000,0.8
000001.SH,上证指数,1991-08-23,169.81,169.81,168.16,169.81,59600,0.5
000001.SH,上证指数,1991-08-26,171.51,171.51,169.81,171.51,57200,0.5
000001.SH,上证指数,1991-08-27,173.06,173.19,171.51,173.19,79100,0.5
000001.SH,上证指数,1991-08-28,174.82,174.92,173.19,174.92,77700,0.5
000001.SH,上证指数,1991-08-29,176.53,176.66,174.92,176.66,259600,1.6
000001.SH,上证指数,1991-08-30,178.2,178.43,176.66,178.43,669100,4.2
000001.SH,上证指数,1991-09-02,180.08,180.22,178.43,180.22,140300,0.8
000001.SH,上证指数,1991-09-03,181.71,181.97,180.22,181.97,147300,0.9
000001.SH,上证指数,1991-09-04,183.66,183.69,181.97,183.69,59300,0.4
000001.SH,上证指数,1991-09-05,185.48,185.51,183.69,185.51,141400,1
000001.SH,上证指数,1991-09-06,187.09,187.36,185.51,187.36,275600,1.7
000001.SH,上证指数,1991-09-09,189.1,189.24,187.36,189.24,351800,2.3
000001.SH,上证指数,1991-09-10,190.98,190.98,188.19,188.33,3342900,21.5
000001.SH,上证指数,1991-09-11,187.29,187.29,186.86,187.22,2129300,14.6
000001.SH,上证指数,1991-09-12,186.22,187.4,186.07,186.22,1943500,16.2
000001.SH,上证指数,1991-09-13,188,188.04,185.01,187.79,3707300,24
000001.SH,上证指数,1991-09-16,189.55,189.66,187.79,189.66,992800,6.3
000001.SH,上证指数,1991-09-17,191.16,191.18,188.28,188.65,2882400,18.6
000001.SH,上证指数,1991-09-18,187.26,188.59,187.18,187.63,1582200,11
000001.SH,上证指数,1991-09-19,187.65,189.21,186.49,186.88,2343400,14.6
000001.SH,上证指数,1991-09-20,185.77,187.21,185.66,185.92,1206900,7.4
000001.SH,上证指数,1991-09-23,185,185.92,184.71,185,402400,2.8
000001.SH,上证指数,1991-09-24,183.96,185.04,183.69,184.08,142100,1
000001.SH,上证指数,1991-09-25,182.8,184.08,182.8,183.19,138400,0.9
000001.SH,上证指数,1991-09-26,182.21,183.19,181.93,182.33,651700,4.6
000001.SH,上证指数,1991-09-27,183.12,183.89,181.19,181.82,3345900,20.4
000001.SH,上证指数,1991-09-30,180.28,181.95,180.27,180.92,2399000,22.3
000001.SH,上证指数,1991-10-03,181.55,182.48,179.8,182.48,1866100,12.3
000001.SH,上证指数,1991-10-04,184.29,184.29,183.59,184.29,732600,5
000001.SH,上证指数,1991-10-07,185.95,186,185.41,186,1136300,7.2
000001.SH,上证指数,1991-10-08,187.59,187.61,186,187.49,2370500,15.2
000001.SH,上证指数,1991-10-09,188.49,189.12,186.31,189.12,2094900,13.4
000001.SH,上证指数,1991-10-10,190.71,191.01,189.12,191.01,659500,4.3
000001.SH,上证指数,1991-10-11,192.84,192.88,191.01,192.85,1092500,7.2
000001.SH,上证指数,1991-10-14,194.06,194.69,192.32,194.67,2143600,13.9
000001.SH,上证指数,1991-10-15,196.58,196.61,194.67,196.61,1094200,7.2
000001.SH,上证指数,1991-10-16,198.51,198.57,196.61,198.57,952200,6.2
000001.SH,上证指数,1991-10-17,200.5,200.51,198.57,200.51,603700,4.1
000001.SH,上证指数,1991-10-18,202.5,202.51,200.51,202.51,285000,2.3
000001.SH,上证指数,1991-10-21,204.53,204.53,202.51,204.53,349700,2.5
000001.SH,上证指数,1991-10-22,206.06,206.53,204.53,206.53,208800,1.5
000001.SH,上证指数,1991-10-23,208.06,208.25,206.53,208.25,258300,1.9
000001.SH,上证指数,1991-10-24,210.2,210.2,208.25,210.07,1935600,13.1
000001.SH,上证指数,1991-10-25,210.34,211.97,209.71,211.86,3259200,22.2
000001.SH,上证指数,1991-10-28,213.5,213.98,211.86,213.98,317700,2.3
000001.SH,上证指数,1991-10-29,215.63,215.78,213.98,215.78,265700,2
000001.SH,上证指数,1991-10-30,216.37,216.43,215.78,216.43,238000,1.8
000001.SH,上证指数,1991-10-31,218.59,218.6,216.43,218.6,388900,2.9
000001.SH,上证指数,1991-11-01,220.71,220.72,218.6,220.72,589800,4.3
000001.SH,上证指数,1991-11-04,222.77,222.77,220.79,222.77,444100,3.3
000001.SH,上证指数,1991-11-05,224.44,224.65,222.77,224.65,276500,2.2
000001.SH,上证指数,1991-11-06,226.83,226.88,224.65,226.88,284700,2.1
000001.SH,上证指数,1991-11-07,228.93,228.93,226.88,228.93,479400,4
000001.SH,上证指数,1991-11-08,230.99,231.22,228.93,231.22,1435600,11
000001.SH,上证指数,1991-11-11,233.48,233.55,231.22,233.55,242000,2.1
000001.SH,上证指数,1991-11-12,235.75,235.8,233.55,235.8,85500,0.9
000001.SH,上证指数,1991-11-13,236.51,236.67,235.8,236.67,75900,0.8
000001.SH,上证指数,1991-11-14,237.39,237.45,236.67,237.45,82200,0.9
000001.SH,上证指数,1991-11-15,238.25,238.25,237.45,238.25,201000,1.9
000001.SH,上证指数,1991-11-18,240.04,240.62,238.25,240.62,187700,1.5
000001.SH,上证指数,1991-11-19,242.24,242.24,240.62,242.24,227800,2
000001.SH,上证指数,1991-11-20,244.5,244.5,242.24,244.5,232500,1.9
000001.SH,上证指数,1991-11-21,246.26,246.31,244.5,246.31,211500,2
000001.SH,上证指数,1991-11-22,248.24,248.53,246.31,248.53,209300,1.9
000001.SH,上证指数,1991-11-25,250.84,250.85,248.53,250.85,233100,1.9
000001.SH,上证指数,1991-11-26,252.9,252.97,250.85,252.97,241400,2.3
000001.SH,上证指数,1991-11-27,255.27,255.45,252.97,255.45,211900,1.7
000001.SH,上证指数,1991-11-28,257.28,257.35,255.45,257.35,246300,2.2
000001.SH,上证指数,1991-11-29,259.68,259.85,257.35,259.6,3365500,28.4
000001.SH,上证指数,1991-12-02,261.78,262.19,259.67,262.19,1908800,16.3
000001.SH,上证指数,1991-12-03,264.64,264.81,262.19,264.81,106100,1.2
000001.SH,上证指数,1991-12-04,265.53,265.77,264.81,265.77,70200,0.9
000001.SH,上证指数,1991-12-05,266.48,266.66,265.77,266.66,201000,2.1
000001.SH,上证指数,1991-12-06,269.34,269.35,266.66,269.35,156800,1.7
000001.SH,上证指数,1991-12-09,270.27,270.27,269.35,270.27,159100,1.6
000001.SH,上证指数,1991-12-10,270.27,272.91,270.27,272.91,47400,0.6
000001.SH,上证指数,1991-12-11,273.53,273.71,272.91,273.71,62900,0.8
000001.SH,上证指数,1991-12-12,274.41,274.41,273.71,274.41,153700,1.6
000001.SH,上证指数,1991-12-13,276.81,277,274.41,277,70500,0.9
000001.SH,上证指数,1991-12-16,277.53,277.85,277,277.85,54000,0.8
000001.SH,上证指数,1991-12-17,278.67,278.68,277.85,278.68,43200,0.7
000001.SH,上证指数,1991-12-18,279.32,279.51,278.68,279.51,72000,0.8
000001.SH,上证指数,1991-12-19,279.98,280.17,279.51,280.17,105400,1.2
000001.SH,上证指数,1991-12-20,282.83,282.83,280.63,282.83,433400,6.2
000001.SH,上证指数,1991-12-23,285.65,285.65,282.83,285.65,100600,1.1
000001.SH,上证指数,1991-12-24,285.74,286.22,285.65,286.22,48600,0.5
000001.SH,上证指数,1991-12-25,287.09,287.15,286.22,287.15,48000,0.8
000001.SH,上证指数,1991-12-26,288.03,288.03,287.15,288.03,109800,1.4
000001.SH,上证指数,1991-12-27,290.65,290.85,288.03,290.85,150800,1.7
000001.SH,上证指数,1991-12-30,291.71,291.71,290.85,291.71,112400,1.8
000001.SH,上证指数,1991-12-31,292.48,292.75,291.71,292.75,54400,0.8
000001.SH,上证指数,1992-01-02,293.74,293.75,292.76,293.75,88800,1.3
000001.SH,上证指数,1992-01-03,296.24,296.52,293.75,296.52,139400,1.8
000001.SH,上证指数,1992-01-06,297.68,297.68,296.52,297.68,336000,4.2
000001.SH,上证指数,1992-01-07,298.54,298.77,297.68,298.77,89100,1
000001.SH,上证指数,1992-01-08,299.65,299.66,298.77,299.66,61900,0.9
000001.SH,上证指数,1992-01-09,300.61,300.62,299.66,300.62,90300,1.2
000001.SH,上证指数,1992-01-10,301.82,301.83,300.62,301.83,156500,2.6
000001.SH,上证指数,1992-01-13,302.83,303.06,302,303.06,68500,1
000001.SH,上证指数,1992-01-14,304.77,305.74,303.06,305.74,59200,0.8
000001.SH,上证指数,1992-01-15,306.62,306.63,305.74,306.63,25900,0.3
000001.SH,上证指数,1992-01-16,306.85,306.85,306.63,306.85,37600,0.4
000001.SH,上证指数,1992-01-17,307.37,307.38,306.85,307.38,22600,0.3
000001.SH,上证指数,1992-01-20,307.38,307.39,307.38,307.39,43100,0.5
000001.SH,上证指数,1992-01-21,307.87,307.87,307.39,307.87,53200,0.6
000001.SH,上证指数,1992-01-22,307.95,307.95,307.87,307.95,31100,0.4
000001.SH,上证指数,1992-01-23,308.53,308.53,307.95,308.53,37600,0.5
000001.SH,上证指数,1992-01-24,309.05,309.05,308.53,309.05,71900,1
000001.SH,上证指数,1992-01-27,311.6,311.61,309.05,311.61,56000,0.7
000001.SH,上证指数,1992-01-28,311.67,311.84,311.61,311.84,65800,0.8
000001.SH,上证指数,1992-01-29,312.41,312.58,311.84,312.42,39800,0.4
000001.SH,上证指数,1992-01-30,312.73,312.73,312.42,312.73,36500,0.5
000001.SH,上证指数,1992-01-31,313.24,313.24,312.73,313.24,31400,0.5
000001.SH,上证指数,1992-02-03,314.18,314.18,313.24,314.18,26900,0.5
000001.SH,上证指数,1992-02-07,314.72,314.72,314.18,314.72,32300,0.5
000001.SH,上证指数,1992-02-10,315.55,315.56,314.72,315.56,35400,0.5
000001.SH,上证指数,1992-02-11,316.12,316.43,315.56,316.43,29400,0.4
000001.SH,上证指数,1992-02-12,316.43,316.44,316.43,316.44,26600,0.3
000001.SH,上证指数,1992-02-13,317.24,317.57,317.06,317.04,98400,1.6
000001.SH,上证指数,1992-02-14,319.45,319.68,317.04,319.68,45500,0.7
000001.SH,上证指数,1992-02-17,319.77,319.77,319.68,319.77,631000,13.7
000001.SH,上证指数,1992-02-18,338.98,339.16,319.77,337.11,740200,12.6
000001.SH,上证指数,1992-02-19,340.5,342.41,337.11,342.41,936600,16.5
000001.SH,上证指数,1992-02-20,345.22,348.01,342.41,347.99,1028500,20
000001.SH,上证指数,1992-02-21,358.91,359.93,347.99,359.59,1158200,19.2
000001.SH,上证指数,1992-02-24,361.11,361.62,359.59,360.5,3015700,18
000001.SH,上证指数,1992-02-25,359.66,361.29,357.07,360.37,481200,8
000001.SH,上证指数,1992-02-26,359.85,360.76,359.27,360.1,574900,8
000001.SH,上证指数,1992-02-27,361,363.03,360.1,362.45,952400,17.9
000001.SH,上证指数,1992-02-28,364.15,364.67,362.45,364.66,986000,26.4
000001.SH,上证指数,1992-03-02,365.15,365.39,364.66,365.39,335000,5.6
000001.SH,上证指数,1992-03-03,366.79,367.25,365.39,367,294900,3.3
000001.SH,上证指数,1992-03-04,367.56,368.32,366.95,368.32,557400,10.3
000001.SH,上证指数,1992-03-05,369.31,369.88,368.11,369.76,836000,14.9
000001.SH,上证指数,1992-03-06,370.79,371.76,369.76,371.76,516800,9.9
000001.SH,上证指数,1992-03-09,372.26,374.06,371.88,373.53,2096500,22.2
000001.SH,上证指数,1992-03-10,374.48,375.23,373.53,375.23,497400,7.4
000001.SH,上证指数,1992-03-11,375.87,376.25,374.98,376.14,394700,11.2
000001.SH,上证指数,1992-03-12,377.55,377.57,376.14,376.92,1029000,31.5
000001.SH,上证指数,1992-03-13,376.58,377.19,376.38,376.38,251900,4.4
000001.SH,上证指数,1992-03-16,377,377.42,376.38,377.05,260600,2.2
000001.SH,上证指数,1992-03-17,377.5,377.84,377.03,377.49,84200,1.3
000001.SH,上证指数,1992-03-18,377.94,378.32,377.49,377.66,402300,2.2
000001.SH,上证指数,1992-03-19,377.26,377.96,376.21,377.31,1361600,35.1
000001.SH,上证指数,1992-03-20,377.91,378.03,377.31,377.99,312300,7.8
000001.SH,上证指数,1992-03-23,378.61,379.04,377.45,378.89,1016200,24.3
000001.SH,上证指数,1992-03-24,378.53,379.5,378.05,378.69,427100,7
000001.SH,上证指数,1992-03-25,378.33,379.02,378.12,378.12,1165300,21.4
000001.SH,上证指数,1992-03-26,379.29,379.34,377.64,379.13,1016500,24.1
000001.SH,上证指数,1992-03-27,379.65,380.79,379.13,380.77,187600,5.4
000001.SH,上证指数,1992-03-30,381.54,381.56,380.76,381.44,1257900,40.3
000001.SH,上证指数,1992-03-31,381.87,382.06,381.24,381.24,1729500,53.8
000001.SH,上证指数,1992-04-01,381.55,381.85,381.01,381.01,397000,7.7
000001.SH,上证指数,1992-04-02,381.47,381.58,381.01,381.12,164100,3.1
000001.SH,上证指数,1992-04-03,381.44,381.57,381.12,381.33,169200,3.3
000001.SH,上证指数,1992-04-06,381.97,382.08,381.33,381.47,529000,14.5
000001.SH,上证指数,1992-04-07,381.95,382.1,381.47,381.93,1058100,30.2
000001.SH,上证指数,1992-04-08,382.53,382.59,381.92,382.43,186300,5.2
000001.SH,上证指数,1992-04-09,381.93,382.88,381.65,381.65,312200,7.1
000001.SH,上证指数,1992-04-10,381.52,382.04,381.2,382.03,702600,13.4
000001.SH,上证指数,1992-04-13,387.27,392.28,382.03,391.11,2057600,52.4
000001.SH,上证指数,1992-04-14,393.1,400.61,391.1,400.61,938400,25.1
000001.SH,上证指数,1992-04-15,400.35,406.72,398.23,406.72,1056500,25.1
000001.SH,上证指数,1992-04-16,404.07,410.61,403.52,410.55,3916800,57.4
000001.SH,上证指数,1992-04-17,408.56,414.42,406.19,414.42,1352300,45.1
000001.SH,上证指数,1992-04-20,417.19,420.99,413.64,413.85,909200,23.2
000001.SH,上证指数,1992-04-21,417.99,421.55,402.89,410.06,5031900,72.1
000001.SH,上证指数,1992-04-22,400.12,410.06,399.87,399.88,4891700,73.5
